,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017
TotalNacional1,15336.31858,15146.45295,16329.05477,16555.88575,18032.00067,18583.67365,18757.3677,18990.30081,18661.40683,18118.33457,16738.56025,15230.92717,15597.8118,15210.26639,15796.67238,16582.72956,17780.31304,19056.98665,18857.61277,19195.38239,18508.01859,17884.384,16534.95177,15124.86447,15527.35943,15292.71963,16460.15481,16768.32575,17896.1946,18384.77958,19008.67933,19462.58539,18794.91981,18315.18639,16612.57778,208.0149,15733.18327,15446.11568,16670.67801,16906.98912,17879.13011,18533.57925,19096.08499,20027.45889,19737.91879,19048.16239,17259.19491,212.2008173,15719.09664,15903.36037,16540.91341,17723.14833,18874.1692,19647.9319,20194.86134,20368.07463,19746.64661,19232.37943,17757.13135,218.0723,15879.62181,15618.75493,16721.99314,17029.08428,18566.21579,19546.7835,19705.31,19665.72247,20799.20993,18337.43454,18244.09746,215.3099
Aguascalientes,199.44298,187.08144,191.41226,197.50058,224.69975,225.7619,209.13602,206.28595,212.13117,214.379,208.30852,192.3196,195.69158,186.5909,199.17678,211.84165,221.70633,212.45194,206.78007,204.27973,207.58499,193.76961,199.64027,189.01011,200.03993,201.70483,219.23595,219.79184,231.10658,219.71372,220.73418,233.11068,227.55074,230.83549,226.19137,2.6286,222.55113,209.71518,217.73756,217.36922,248.22528,240.94129,226.34135,232.59743,235.97174,230.51644,218.66431,2.709448397,216.41866,206.02183,215.44161,233.76739,253.45905,249.7287,244.35311,230.63372,223.20875,233.27646,233.79518,2.752,225.86912,218.60507,240.53183,236.57855,258.03227,258.57492,260.45503,234.0853,261.06838,208.85244,262.34958,2.8634
BajaCalifornia,678.96225,642.5853,686.28554,677.25244,765.09154,859.74237,978.1679,1072.64816,1027.56176,922.81302,742.84384,627.55183,655.4831,622.08499,655.5608,690.49849,744.97408,860.38054,995.13345,1032.28803,993.70824,854.08436,697.40914,624.55312,672.63952,638.2179,668.81566,693.68421,755.0883,882.99064,1031.26853,1090.24088,1056.86296,942.56527,748.2652,9.8156,675.67282,654.32406,690.84272,722.80526,746.07675,802.51151,1017.22985,1096.29016,1131.05304,1013.3062,813.61265,10.01182079,698.77057,681.6043,708.08699,738.50499,767.29964,929.02639,1106.00686,1194.9161,1128.04273,934.05875,842.65836,10.4577,729.50272,703.68195,766.81223,787.01032,816.53841,917.80172,1132.11497,1187.26279,1186.53665,885.11307,826.08579,10.7857
BajaCalifornia Sur,142.78646,136.18053,140.03757,144.11374,151.93563,164.20124,182.86356,203.18484,202.90379,206.51352,185.9986,163.21827,146.11216,136.73627,144.5586,150.06309,159.93099,168.60806,189.56983,207.6086,205.0159,208.30972,181.19868,161.54529,154.33096,145.00591,154.9738,157.85585,177.23956,194.03124,217.57873,227.86498,192.33343,169.65899,173.53906,2.1165,143.60516,134.62041,141.2202,150.55496,165.79408,171.68755,207.48825,231.36105,237.62196,233.77554,211.08073,2.201651711,157.39756,148.81782,157.65484,161.09947,175.81653,188.54141,221.97398,235.94903,231.47227,237.2608,231.94,2.3425,164.55446,152.71556,162.19751,166.17883,178.73885,185.22277,219.76401,248.76227,259.49914,224.00801,253.24134,2.3668
Campeche,82.18666,84.33401,94.2252,101.61858,110.80753,111.67703,109.46195,109.82016,111.6787,111.96857,102.571,92.93702,91.72713,90.05317,89.76315,98.81169,113.86303,116.31476,113.09846,114.58892,112.78133,112.07727,109.29365,96.07611,90.3971,88.44633,95.46236,106.99732,121.48577,115.08048,120.50547,126.00331,123.07338,117.95836,103.59363,1.2993,91.77093,86.62822,94.07495,108.78784,123.02001,122.85368,123.38129,123.75584,124.80294,121.82893,115.60638,1.34084327,99.07174,89.11928,92.07319,107.04334,126.74447,139.14526,135.00909,123.46482,129.10734,117.98918,116.67229,1.3882,98.8956,90.8169,102.39003,108.18925,118.40979,124.14871,125.44815,118.31513,129.35963,123.47379,112.95257,1.3404
Coahuila,737.27882,725.86519,813.24212,801.70213,904.57293,943.60153,955.00753,972.56608,915.7823,868.17874,811.08987,741.12448,784.29555,751.96824,832.07353,778.46931,876.04344,900.69195,972.86557,995.67982,987.90538,930.52144,850.11052,795.11868,818.34458,794.76384,833.9771,870.6973,891.80464,904.8842,950.33542,1017.81976,972.04851,943.68184,799.14554,10.5516,760.27797,771.80392,966.13742,848.6023,859.01875,915.78386,947.29901,964.4637,972.94346,949.97817,792.46548,10.4628533,712.50876,725.2736,798.20061,795.03152,864.77477,951.47004,984.79414,976.5597,988.09991,892.98301,797.08593,10.2119,755.07577,745.10216,748.84579,776.70243,892.42262,955.52162,983.20376,1006.82318,1070.00144,882.21247,813.48135,10.3934
Colima,129.98015,123.04417,127.71155,130.33746,140.06101,140.46289,144.01878,143.14162,145.11154,147.44106,146.21047,145.5094,142.20257,137.554,140.52764,135.63805,149.34963,151.68103,149.28703,151.08508,147.11163,144.94729,144.84688,141.31995,140.76649,135.91924,137.90209,144.46712,155.83628,148.68365,149.74306,158.04358,148.53702,149.37295,147.60328,1.7596,143.42559,134.16677,138.34928,139.85735,146.15996,149.52346,153.0442,162.56068,159.72164,156.36491,150.53247,1.787273609,145.508,140.86808,143.49836,148.19997,152.12671,156.85932,160.11116,160.5542,155.60947,163.8735,158.59335,1.8421,155.68536,146.05563,160.81265,154.94701,164.25554,165.89178,172.71438,177.51913,167.77085,162.84617,174.94567,3.9638
Chiapas,217.32856,220.74285,228.42789,234.24843,240.45391,239.20264,233.83782,233.98819,233.63061,233.91866,230.09859,225.7606,228.16606,226.55535,227.12812,236.07603,247.8563,244.48322,239.3846,239.00886,234.57733,235.61238,237.25121,228.4586,227.0905,225.79961,242.61931,248.74591,253.62759,240.47274,249.06272,256.85411,247.99821,242.55477,239.86845,2.9124,229.34652,222.67598,239.16904,249.97143,261.20686,260.63531,260.91912,274.38285,269.79027,266.32999,259.27776,3.054574426,262.74395,251.93844,259.45213,272.04314,292.50738,278.83208,272.07166,281.72556,283.78889,277.05246,257.84349,3.2565,247.63042,251.67537,257.46977,258.58163,267.93827,256.35109,255.45205,257.84805,268.46701,262.27834,308.52459,3.086
Chihuahua,649.37012,673.53065,737.80167,837.77371,970.49413,1064.44421,1151.62685,1128.60403,1117.47142,987.95344,763.5049,661.4468,678.83874,687.0865,729.53499,898.36348,997.64502,1153.55206,1173.2144,1086.74505,1085.8679,921.26086,765.01453,658.93408,797.71206,708.73835,796.65545,980.68864,1045.1583,1212.87425,1259.45872,1175.47682,1011.69603,897.49386,724.16459,11.2836,704.12913,734.54855,891.45842,945.38037,1060.1941,1247.505,1197.18523,1267.33589,1285.90472,998.27211,763.80669,11.78648963,718.08606,805.67774,904.80006,1055.18064,1206.9581,1291.83937,1320.218,1282.88699,1085.35686,1015.42584,794.27846,12.1974,750.57364,747.24909,928.48077,1109.75409,1228.3112,1320.07424,1306.81717,1112.36894,1325.14516,1068.72654,885.04133,12.5155
DistritoFederal,1150.20563,1114.69854,1214.77331,1281.85615,1226.52794,1237.80533,1190.63411,1181.66509,1161.06961,1173.74115,1167.23035,1029.03142,1169.79855,1125.27829,1142.44359,1200.5928,1234.92411,1681.74256,1195.19147,1178.92291,1163.15852,1193.41643,1143.63931,1133.90634,1166.83944,1111.59127,1185.45201,1167.97526,1207.04665,1178.86969,1198.79803,1214.44512,1191.43895,1232.87128,1229.69952,14.3006,1159.61023,1123.9702,1189.36327,1239.36639,1204.06867,1228.13519,1220.32102,1235.41145,1212.12157,1228.23286,1237.41852,14.46426411,1182.37104,1159.57039,1178.90684,1214.1303,1274.60924,1235.40718,1200.79779,1205.78141,1196.50973,1235.07719,1163.8812,14.5,1171.95893,1113.03259,1143.46134,1087.77395,1184.97643,1172.71002,1152.51305,1118.12196,1182.50599,1114.32295,1134.21467,13.6217
