ogc_fid,potencial,plant_type,lat,lon,ESTADO,ClaveGeo
2057,220.75,wind,32.60269,-116.07806,Baja California,02
2188,40,solar,32.59087,-115.59282,Baja California,02
2309,60,solar,29.24577,-110.72324,Sonora,26
1,18.864,solar,31.2229,-109.60798,Sonora,26
2,103.05623,geothermal,15.3,-92.3167,Chiapas,07
3,47.35731,geothermal,15.3,-92.3167,Chiapas,07
4,11.07735,geothermal,15.4667,-92.65,Chiapas,07
5,45.57257,geothermal,16.4,-92.6667,Chiapas,07
6,1.7961,geothermal,16.4,-92.6667,Chiapas,07
7,54.96845,geothermal,16.6,-94.9167,Oaxaca,20
8,14.52123,geothermal,16.6,-94.9167,Oaxaca,20
9,34.05554,geothermal,16.6333,-94.9667,Oaxaca,20
10,34.05554,geothermal,16.6333,-94.9667,Oaxaca,20
11,38.60086,geothermal,16.6333,-94.9667,Oaxaca,20
12,38.60086,geothermal,16.6333,-94.9667,Oaxaca,20
13,2.74543,geothermal,16.6333,-94.9667,Oaxaca,20
14,2.74543,geothermal,16.6333,-94.9667,Oaxaca,20
15,1.63326,geothermal,16.7667,-98.0333,Oaxaca,20
16,50.51259,geothermal,17.0167,-93.1833,Chiapas,07
17,100.04856,geothermal,18.0333,-98.9333,Guerrero,12
18,20.36025,geothermal,18.25,-103.0167,Michoacán,16
19,427.75325,geothermal,18.4667,-96.45,Oaxaca,20
20,91.11492,geothermal,18.5,-98.5167,Puebla,21
21,115.74278,geothermal,18.5083,-98.4764,Puebla,21
22,61.55357,geothermal,18.5083,-98.4764,Puebla,21
23,51.96282,geothermal,18.6333,-98.8333,Morelos,17
24,463.17232,geothermal,18.7,-96.5167,Veracruz,30
25,65.22853,geothermal,18.7097,-98.0611,Puebla,21
26,20.65192,geothermal,18.8833,-99.6833,México,15
27,19.04399,geothermal,18.9,-99.6833,México,15
28,19.04399,geothermal,18.9,-99.6833,México,15
29,18.48865,geothermal,18.9,-99.6833,México,15
30,18.48865,geothermal,18.9,-99.6833,México,15
31,3.62187,geothermal,18.9083,-101.7819,Michoacán,16
32,114.34368,geothermal,19.0431,-98.2167,Puebla,21
33,114.34368,geothermal,19.0431,-98.2167,Puebla,21
34,120.58545,geothermal,19.0431,-98.2167,Puebla,21
35,120.58545,geothermal,19.0431,-98.2167,Puebla,21
36,67.25366,geothermal,19.0431,-98.2167,Puebla,21
37,67.25366,geothermal,19.0431,-98.2167,Puebla,21
38,107.21726,geothermal,19.0861,-101.4139,Michoacán,16
39,65.54884,geothermal,19.1333,-102.95,Michoacán,16
40,58.00847,geothermal,19.1833,-103.6333,Colima,06
41,4.88338,geothermal,19.2,-100.6917,Michoacán,16
42,42.1178,geothermal,19.2333,-102.6833,Jalisco,14
