ogc_fid,dni,ESTADO,ClaveGeo
1,7.56,Baja California,02
2,7.464,Baja California,02
3,7.224,Baja California,02
4,7.032,Baja California,02
5,6.984,Baja California,02
6,6.96,Baja California,02
7,7.2,Baja California,02
8,7.416,Baja California,02
9,7.632,Baja California,02
10,7.632,Baja California,02
11,7.56,Baja California,02
12,7.632,Baja California,02
13,7.584,Baja California,02
14,7.56,Baja California,02
15,7.536,Baja California,02
16,7.392,Baja California,02
17,7.44,Baja California,02
18,7.296,Baja California,02
19,7.176,Baja California,02
20,7.368,Baja California,02
21,6.984,Baja California,02
22,7.224,Baja California,02
23,8.232,Baja California,02
24,7.896,Baja California,02
25,7.8,Baja California,02
26,7.896,Baja California,02
27,7.824,Baja California,02
28,7.8,Baja California,02
29,7.848,Baja California,02
30,7.8,Baja California,02
31,7.68,Baja California,02
32,7.944,Baja California,02
33,7.728,Baja California,02
34,7.68,Baja California,02
35,7.608,Baja California,02
36,7.656,Baja California,02
37,7.536,Baja California,02
38,7.512,Baja California,02
39,7.488,Baja California,02
40,7.44,Baja California,02
41,7.368,Baja California,02
42,7.512,Baja California,02
43,7.488,Baja California,02
44,7.464,Baja California,02
45,7.512,Baja California,02
46,7.488,Baja California,02
47,7.68,Baja California,02
48,7.464,Baja California,02
49,7.464,Baja California,02
50,7.512,Baja California,02
51,7.56,Baja California,02
52,7.68,Baja California,02
53,7.752,Baja California,02
54,7.824,Baja California,02
55,7.776,Baja California,02
56,7.896,Baja California,02
57,7.872,Baja California,02
58,7.824,Baja California,02
59,7.896,Baja California,02
60,8.136,Baja California,02
61,8.28,Baja California,02
62,8.016,Baja California,02
63,7.752,Baja California,02
64,7.536,Baja California,02
65,7.68,Baja California,02
66,7.896,Baja California,02
67,7.872,Baja California,02
68,7.848,Baja California,02
69,7.944,Baja California,02
70,7.824,Baja California,02
71,7.752,Baja California,02
72,7.704,Baja California,02
73,7.776,Baja California,02
74,7.8,Baja California,02
75,7.608,Baja California,02
76,7.56,Baja California,02
77,7.584,Baja California,02
78,7.56,Baja California,02
79,7.584,Baja California,02
80,7.536,Baja California,02
81,7.488,Baja California,02
82,7.464,Baja California,02
83,7.488,Baja California,02
84,7.56,Sonora,26
85,7.512,Baja California,02
86,7.536,Baja California,02
87,7.512,Baja California,02
88,6.696,Baja California,02
89,6.84,Baja California,02
90,6.912,Baja California,02
91,7.056,Baja California,02
92,7.008,Baja California,02
93,7.056,Baja California,02
94,7.152,Baja California,02
95,7.32,Baja California,02
96,7.272,Baja California,02
97,7.32,Baja California,02
98,7.44,Baja California,02
99,7.512,Baja California,02
100,7.488,Baja California,02
101,7.536,Baja California,02
102,7.608,Baja California,02
103,7.608,Baja California,02
104,7.776,Baja California,02
105,7.8,Baja California,02
106,7.848,Baja California,02
107,7.872,Baja California,02
108,7.944,Baja California,02
109,8.184,Baja California,02
110,8.232,Baja California,02
111,8.184,Baja California,02
112,7.872,Baja California,02
113,7.992,Baja California,02
114,7.968,Baja California,02
115,7.752,Baja California,02
116,7.8,Baja California,02
117,7.752,Baja California,02
118,7.704,Baja California,02
119,7.848,Baja California,02
120,7.752,Baja California,02
121,7.704,Baja California,02
122,7.608,Baja California,02
123,7.656,Baja California,02
124,7.56,Baja California,02
125,7.584,Baja California,02
126,7.56,Baja California,02
127,7.584,Baja California,02
128,7.512,Baja California,02
129,7.56,Baja California,02
130,6.864,Baja California,02
131,7.08,Baja California,02
132,7.032,Baja California,02
133,7.08,Baja California,02
134,7.056,Baja California,02
135,7.2,Baja California,02
136,7.248,Baja California,02
137,7.272,Baja California,02
138,7.368,Baja California,02
139,7.464,Baja California,02
140,7.56,Baja California,02
141,7.536,Baja California,02
142,7.632,Baja California,02
143,7.68,Baja California,02
144,7.704,Baja California,02
145,7.728,Baja California,02
146,7.92,Baja California,02
147,7.992,Baja California,02
148,8.064,Baja California,02
149,8.184,Baja California,02
150,8.16,Baja California,02
151,8.28,Baja California,02
152,8.304,Baja California,02
153,8.112,Baja California,02
154,7.824,Baja California,02
155,7.848,Baja California,02
156,7.68,Baja California,02
157,7.848,Baja California,02
158,7.728,Baja California,02
159,7.752,Baja California,02
160,7.704,Baja California,02
161,7.824,Baja California,02
162,7.752,Baja California,02
163,7.68,Baja California,02
164,7.632,Baja California,02
165,7.608,Baja California,02
166,7.632,Baja California,02
167,7.536,Baja California,02
168,7.584,Sonora,26
169,7.656,Sonora,26
170,6.456,Baja California,02
171,6.816,Baja California,02
172,7.008,Baja California,02
173,7.08,Baja California,02
174,7.008,Baja California,02
175,6.984,Baja California,02
176,7.008,Baja California,02
177,7.056,Baja California,02
178,7.224,Baja California,02
179,7.344,Baja California,02
180,7.464,Baja California,02
181,7.512,Baja California,02
182,7.584,Baja California,02
183,7.608,Baja California,02
184,7.632,Baja California,02
185,7.536,Baja California,02
186,7.752,Baja California,02
187,7.8,Baja California,02
188,7.752,Baja California,02
189,7.824,Baja California,02
190,7.776,Baja California,02
191,7.896,Baja California,02
192,7.92,Baja California,02
193,8.016,Baja California,02
194,8.136,Baja California,02
195,8.256,Baja California,02
196,8.328,Baja California,02
197,8.448,Baja California,02
198,8.472,Baja California,02
199,8.088,Baja California,02
200,7.896,Baja California,02
201,7.656,Baja California,02
202,7.728,Baja California,02
203,7.68,Baja California,02
204,7.896,Baja California,02
205,8.016,Baja California,02
206,7.968,Baja California,02
207,7.872,Baja California,02
208,7.8,Baja California,02
209,7.728,Baja California,02
210,7.68,Baja California,02
211,7.608,Baja California,02
212,7.584,Baja California,02
213,7.536,Baja California,02
214,7.584,Sonora,26
215,7.752,Sonora,26
216,7.704,Sonora,26
217,7.728,Sonora,26
218,7.752,Sonora,26
